aupr,auroc,f1,f1_opt,mcc,shd,precision,recall,tp,fp,tn,fn,topology,config,method,rep,seed_offset,n,p,wall_seconds,dof_correction,null_graph,benchmark,network,delta_mode,diffusion_spearman_mean,diffusion_spearman_min,diffusion_mae_mean,knockout_spearman,knockout_top10_recall,knockout_topk_recall,n_components_pred,diffusion_spearman_mean_null,knockout_spearman_null,diffusion_spearman_norm,knockout_spearman_norm,preprocessing,dataset_id
0.6478612485630029,0.9952332657200812,0.4916201117318436,0.7818181818181817,0.557441066119987,91.0,0.3283582089552239,0.9777777777777776,44.0,90.0,2868.0,1.0,hub,n237p78,piglasso,41.0,,237.0,78.0,12.791992263868451,,,synthetic,,,,,,,,,,,,,,,
0.6405615627699925,0.8385851258715976,0.1695286810376324,0.670250155054786,0.285015260136256,4546.0,0.9626556016597512,0.0929487179487179,464.0,18.0,48618.0,4528.0,scale-free,n1026p328,desparsified,26.0,,1026.0,328.0,22.61051344592124,,,synthetic,,,,,,,,,,,,,,,
0.7817714791554479,0.9934605128757322,0.7397260273972602,0.7863247863247863,0.7402412143310849,152.0,0.6565349544072948,0.8470588235294118,216.0,113.0,12998.0,39.0,hub,n513p164,piglasso_oracle_n03,45.0,0.0,513.0,164.0,1236.132576513919,,,synthetic,,,,,,,,,,,,,,,
0.778637909165448,0.9500858325593844,0.6927976482116609,0.7411858974358974,0.6819266465724362,627.0,0.8569696969696969,0.5814144736842105,707.0,118.0,11386.0,509.0,scale-free,n700p160,ssglasso,30.0,0.0,700.0,160.0,1181.7990864100866,,,synthetic,,,,,,,,,,,,,,,
0.5631486101572163,0.8755892113058344,0.4875102040816326,0.6098191214470283,0.4945833367797495,3139.0,0.7465,0.3619393939393939,1493.0,507.0,48996.0,2632.0,cluster,n1026p328,piglasso_adaptive,17.0,,1026.0,328.0,283.727344207,,,synthetic,,,,,,,,,,,,,,,
0.7284568725856202,0.9533880318006864,0.7404505386875614,0.7458143074581431,0.7195688491546053,530.0,0.7145557655954632,0.7682926829268293,756.0,302.0,12080.0,228.0,cluster,n513p164,piglasso,45.0,,513.0,164.0,214.34813893097453,,,synthetic,,,,,,,,,,,,,,,
0.6287146122736065,0.995560539494301,0.4378109452736318,0.7636363636363637,0.5191842118883042,113.0,0.2802547770700637,1.0,44.0,113.0,2846.0,0.0,hub,n237p78,ssglasso,34.0,0.0,237.0,78.0,12.191438613983337,False,False,synthetic,,,,,,,,,,,,,,,
0.6961011079650968,0.9281589609227214,0.5847414234511008,0.6800501882057717,0.581153014291012,811.0,0.8099290780141843,0.4575320512820512,571.0,134.0,11984.0,677.0,scale-free,n513p164,piglasso_corr,32.0,,513.0,164.0,468.4551751459949,,,synthetic,,,,,,,,,,,,,,,
0.5135712388633366,0.8879816209034544,0.5277777777777778,0.5543478260869565,0.4863528332136335,102.0,0.475,0.59375,57.0,63.0,1066.0,39.0,scale-free,n100p50,ssglasso,43.0,0.0,100.0,50.0,8.314929012965877,False,False,synthetic,,,,,,,,,,,,,,,
0.97651130039472,0.999219407597682,0.9530102790014684,0.9692307692307692,0.9510151687063018,64.0,0.9205673758865248,0.9878234398782344,649.0,56.0,12007.0,8.0,random,n1300p160,ssglasso,41.0,0.0,1300.0,160.0,1286.2155918190256,,,synthetic,,,,,,,,,,,,,,,
0.918073120489233,0.998199877240656,0.8670309653916211,0.9072978303747534,0.8663086769913898,73.0,0.8122866894197952,0.9296875,238.0,55.0,13055.0,18.0,hub,n513p164,piglasso_oracle_n01,29.0,0.0,513.0,164.0,1175.030594529002,,,synthetic,,,,,,,,,,,,,,,
0.3462207535977805,0.7898775260182572,0.437859354268023,0.4473933649289099,0.3900835420278272,1271.0,0.3909952606635071,0.4974874371859296,495.0,771.0,11600.0,500.0,cluster,n513p164,piglasso_oracle_n09,44.0,0.0,513.0,164.0,1162.216387929977,,,synthetic,,,,,,,,,,,,,,,
0.192675644049508,0.8617526288210045,0.2916666666666667,0.2936857562408222,0.2772611169617197,408.0,0.2625,0.328125,84.0,236.0,12228.0,172.0,hub,n100p160,ssglasso,29.0,0.0,100.0,160.0,1487.553683163016,,,synthetic,,,,,,,,,,,,,,,
0.4686995168995752,0.8689753602446599,0.5439456808751416,0.5753899480069324,0.5127763648438962,1209.0,0.4436923076923077,0.702729044834308,721.0,904.0,11436.0,305.0,cluster,n513p164,piglasso_oracle_n08,47.0,0.0,513.0,164.0,1247.20603224996,,,synthetic,,,,,,,,,,,,,,,
0.9716940543995842,0.9992034673515344,0.9543808834178132,0.9827456864216054,0.9528770751671812,63.0,0.912742382271468,1.0,659.0,63.0,11998.0,0.0,random,n1500p160,ssglasso,3.0,0.0,1500.0,160.0,1255.1528705069795,,,synthetic,,,,,,,,,,,,,,,
0.6760986251476232,0.9838671060785308,0.4855967078189301,0.7794117647058822,0.5269149532013955,125.0,0.3241758241758242,0.9672131147540984,59.0,123.0,1041.0,2.0,random,n100p50,piglasso_oracle_n02,18.0,0.0,100.0,50.0,10.8761735210428,False,False,synthetic,,,,,,,,,,,,,,,
0.8890072189688845,0.997090031130947,0.8764044943820224,0.8778625954198473,0.8749717030822318,66.0,0.8357142857142857,0.9212598425196852,234.0,46.0,13066.0,20.0,hub,n513p164,piglasso_corr,37.0,,513.0,164.0,466.07925933180377,,,synthetic,,,,,,,,,,,,,,,
0.6978224135641586,0.9332028676524412,0.5829307568438004,0.6586414445399829,0.5854842512122643,777.0,0.839258114374034,0.4465460526315789,543.0,104.0,11400.0,673.0,scale-free,n500p160,ssglasso,19.0,0.0,500.0,160.0,1134.4299893589923,,,synthetic,,,,,,,,,,,,,,,
0.5609547591278716,0.885691541191108,0.5673451710697271,0.5732974220854175,0.5288137419983512,999.0,0.6173421300659755,0.5248397435897436,655.0,406.0,11712.0,593.0,scale-free,n513p164,piglasso_oracle_n06,32.0,0.0,513.0,164.0,1209.8871381089557,,,synthetic,,,,,,,,,,,,,,,
